,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,PROFILE
28,Stormy Muto,58283940,7.0,39.0,29.0,2.0,4.0,0.0,2.0,5.0,0.0,84.0,74.0,,beginner_front_end
81,Carlos Ferro,01357218,32.0,0.0,44.0,2.0,0.0,0.0,0.0,5.0,0.0,67.0,45.0,,beginner_front_end
89,Robby Constantini,63212105,45.0,0.0,59.0,0.0,5.0,4.0,0.0,4.0,1.0,,54.0,47.0,advanced_front_end
138,Paul Mckenny,23239851,36.0,19.0,28.0,0.0,5.0,7.0,0.0,5.0,3.0,,71.0,89.0,beginner_data_science
143,Jean Webb,72234478,61.0,78.0,38.0,6.0,11.0,0.0,4.0,3.0,0.0,66.0,85.0,,advanced_front_end
169,Emily Rushton,09116044,24.0,69.0,68.0,3.0,7.0,0.0,4.0,5.0,0.0,66.0,75.0,,advanced_front_end
179,Rosaria Copeland,59316838,54.0,52.0,12.0,4.0,3.0,0.0,5.0,9.0,0.0,87.0,51.0,,beginner_backend
223,Curtis Rocha,49603646,0.0,42.0,13.0,0.0,5.0,5.0,0.0,5.0,3.0,,74.0,67.0,beginner_backend
346,Billy Phagan,34468193,40.0,20.0,34.0,0.0,5.0,2.0,0.0,7.0,0.0,,53.0,65.0,beginner_front_end
401,Lynn Diaz,29372594,27.0,117.0,2.0,0.0,4.0,0.0,0.0,7.0,4.0,,40.0,3.0,beginner_front_end
439,Danny Wilkinson,69211796,51.0,38.0,27.0,0.0,4.0,0.0,0.0,5.0,2.0,,38.0,41.0,beginner_front_end
